s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
0d1,"POLYGON ((-10.61965527615513 34.04786296943432, -5.059868846264117 34.40415724063815, -5.059868846264117 39.87112800298822, -10.61965527615513 39.49464011274421, -10.61965527615513 34.04786296943432))",0.847,0.863,0.884,7735,5489,3152,51494,20034
8e5,"POLYGON ((-79.38034472384487 10.44179817172576, -79.38034472384487 4.973642825000524, -73.46516214265485 4.851647556935838, -73.46516214265485 10.18989264617986, -79.38034472384487 10.44179817172576))",0.772,0.818,0.862,3229747,1927183,755975,5800973,11921
0c5,"POLYGON ((-16.53483785734515 27.66622518241585, -10.61965527615513 28.25839533868567, -10.61965527615513 34.04786296943432, -16.53483785734516 33.38766721236327, -16.53483785734515 27.66622518241585))",0.818,0.856,0.880,263499,133416,73359,912789,2466
36b,"POLYGON ((106.5348378573452 21.77355606643973, 112.6198649480404 21.03751102542181, 112.6198649480404 26.7849955075022, 106.5348378573452 27.66622518241585, 106.5348378573452 21.77355606643973))",0.661,0.661,0.661,505673,505673,505673,525032,38
0d7,"POLYGON ((-5.059868846264117 34.40415724063815, 0 34.5085229876684, 0 39.98123465891889, -5.059868846264117 39.87112800298822, -5.059868846264117 34.40415724063815))",0.828,0.958,0.958,490986,1124,1028,1485459,33790
321,"POLYGON ((112.6198649480404 0, 118.673146489435 0, 118.673146489435 4.442038523400337, 112.6198649480404 4.67244275538945, 112.6198649480404 0))",0.816,0.859,0.950,552460,321689,3885,1215565,2377
189,"POLYGON ((39.98123465891889 -12.81566331979315, 45 -11.85551661629703, 45 -7.552372279897661, 39.98123465891889 -8.175896074358709, 39.98123465891889 -12.81566331979315))",0.677,0.709,0.766,254658,223083,162120,281214,4040
141,"POLYGON ((22.61986494804042 21.03751102542181, 28.67314648943499 20.08096213071963, 28.67314648943499 25.63226655107013, 22.61986494804042 26.7849955075022, 22.61986494804042 21.03751102542181))",0.882,0.882,0.882,383,383,383,11117,196
0db,"POLYGON ((-10.61965527615513 28.25839533868567, -5.059868846264117 28.57906855098932, -5.059868846264117 34.40415724063815, -10.61965527615513 34.04786296943432, -10.61965527615513 28.25839533868567))",0.652,0.654,0.739,7864,7813,5167,7934,40255
31d,"POLYGON ((100.6196552761551 0, 106.5348378573452 0, 106.5348378573452 4.851647556935838, 100.6196552761551 4.973642825000524, 100.6196552761551 0))",0.876,0.960,0.963,1524284,10610,6769,9678497,23146
683,"POLYGON ((135 -3.582521766172679, 135 -7.552372279897661, 140.0187653410811 -8.175896074358709, 140.0187653410811 -3.881312186924027, 135 -3.582521766172679))",0.707,0.739,0.786,259107,219962,158352,321149,458
24b,"POLYGON ((67.38013505195957 -4.67244275538945, 73.46516214265485 -4.851647556935838, 73.46516214265485 0, 67.38013505195958 0, 67.38013505195957 -4.67244275538945))",0.690,0.718,0.834,19197,17361,7424,21742,40
0df,"POLYGON ((-5.059868846264117 22.54054940194471, 0 22.61986494804042, 0 28.67314648943499, -5.059868846264117 28.57906855098932, -5.059868846264117 22.54054940194471))",0.784,0.842,0.946,84192,39160,289,182086,1868
859,"POLYGON ((-95.05986884626412 16.47390220016713, -95.05986884626412 10.57920733737058, -90 10.61965527615513, -90 16.53483785734516, -95.05986884626412 16.47390220016713))",0.727,0.774,0.814,7462177,5281268,3384616,10484194,14172
123,"POLYGON ((5.059868846264117 22.54054940194471, 10.61965527615513 22.27057548800819, 10.61965527615513 28.25839533868567, 5.059868846264117 28.57906855098932, 5.059868846264117 22.54054940194471))",0.799,0.916,0.944,75428,5011,804,219642,1395
077,"POLYGON ((-45 -11.85551661629703, -39.98123465891889 -12.81566331979315, -39.98123465891889 -8.175896074358709, -45 -7.552372279897661, -45 -11.85551661629703))",0.656,0.731,0.808,1932575,1546706,1036969,1963020,732
317,"POLYGON ((106.5348378573452 10.18989264617986, 112.6198649480404 9.8193006387579, 112.6198649480404 15.32501998539171, 106.5348378573452 15.88626236166589, 106.5348378573452 10.18989264617986))",0.806,0.847,0.895,7185535,3163862,569607,20380767,27082
163,"POLYGON ((39.98123465891889 8.175896074358709, 45 7.552372279897661, 45 11.85551661629703, 39.98123465891889 12.81566331979315, 39.98123465891889 8.175896074358709))",0.650,0.691,0.747,3452998,3056925,2420554,3453449,18311
0e3,"POLYGON ((-5.059868846264117 10.57920733737058, 0 10.61965527615513, 0 16.53483785734516, -5.059868846264116 16.47390220016713, -5.059868846264117 10.57920733737058))",0.696,0.743,0.788,11876124,9073815,5605991,14203444,37329
199,"POLYGON ((22.61986494804043 -9.8193006387579, 28.67314648943499 -9.341889685888818, 28.67314648943499 -4.442038523400337, 22.61986494804043 -4.67244275538945, 22.61986494804043 -9.8193006387579))",0.650,0.650,0.669,2684315,2684315,2560525,2687276,5136
8fd,"POLYGON ((-84.94013115373588 5.040252729758283, -84.94013115373588 0, -79.38034472384487 0, -79.38034472384487 4.973642825000524, -84.94013115373588 5.040252729758283))",0.748,0.823,0.837,157401,83094,67783,220355,131
0fd,"POLYGON ((-5.059868846264116 5.040252729758283, 0 5.059868846264117, 0 10.61965527615513, -5.059868846264117 10.57920733737058, -5.059868846264116 5.040252729758283))",0.685,0.729,0.784,12913556,10818613,7825565,14455295,50131
8db,"POLYGON ((-61.326853510565 9.341889685888818, -61.326853510565 4.442038523400337, -55.4914770123316 4.173022773894666, -55.4914770123316 8.783194988097531, -61.326853510565 9.341889685888818))",0.673,0.738,0.808,472481,380341,265853,505076,2118
339,"POLYGON ((118.673146489435 14.59941342503042, 124.5085229876684 13.74670252512002, 124.5085229876684 18.9499500044539, 118.673146489435 20.08096213071963, 118.673146489435 14.59941342503042))",0.763,0.817,0.874,8342827,4666004,1588999,15325418,10592
10f,"POLYGON ((10.61965527615514 4.973642825000524, 16.53483785734516 4.851647556935838, 16.53483785734515 10.18989264617986, 10.61965527615513 10.44179817172576, 10.61965527615514 4.973642825000524))",0.650,0.685,0.736,7809939,6639371,4737035,7814778,24135
07f,"POLYGON ((-45 -3.582521766172679, -39.98123465891889 -3.881312186924027, -39.98123465891889 0, -45 0, -45 -3.582521766172679))",0.667,0.737,0.820,1990055,1645644,1066616,2076015,1461
91f,"POLYGON ((-73.46516214265485 0, -73.46516214265485 -4.851647556935838, -67.38013505195957 -4.67244275538945, -67.38013505195958 0, -73.46516214265485 0))",0.795,0.832,0.875,174153,99151,33187,363493,1066
185,"POLYGON ((34.5085229876684 -8.783194988097531, 39.98123465891889 -8.175896074358709, 39.98123465891889 -3.881312186924027, 34.5085229876684 -4.173022773894666, 34.5085229876684 -8.783194988097531))",0.664,0.710,0.760,8605397,7350286,5651562,8968031,26258
945,"POLYGON ((-61.32685351056502 -25.63226655107013, -61.326853510565 -31.09807140426155, -55.4914770123316 -29.53280370582265, -55.4914770123316 -24.25860976441469, -61.32685351056502 -25.63226655107013))",0.751,0.800,0.836,4057473,2739140,1665293,6112641,22747
be1,"POLYGON ((-67.38013505195957 -42.70938995736147, -63.57747534364858 -46.88250450215281, -56.88865803962798 -44.96817331739243, -61.32685351056502 -41.26277996400312, -67.38013505195957 -42.70938995736147))",0.797,0.821,0.846,68050,45571,26524,192124,3777
88d,"POLYGON ((-84.94013115373588 28.57906855098932, -84.94013115373588 22.54054940194471, -79.38034472384487 22.27057548800819, -79.38034472384487 28.25839533868567, -84.94013115373588 28.57906855098932))",0.756,0.803,0.956,1079935,648701,623,1966892,18638
905,"POLYGON ((-84.94013115373588 -5.040252729758283, -84.94013115373588 -10.57920733737058, -79.38034472384487 -10.44179817172576, -79.38034472384487 -4.973642825000524, -84.94013115373588 -5.040252729758283))",0.813,0.841,0.913,557730,351373,25535,1532676,4815
bd9,"POLYGON ((-79.38034472384487 -44.50509820989622, -77.39585271623817 -49.3292221793741, -70.50413948681376 -48.3455290041172, -73.46516214265485 -43.79048739785681, -79.38034472384487 -44.50509820989622))",0.776,0.782,0.811,21826,20329,13557,56511,92
8f9,"POLYGON ((-90 10.61965527615513, -90 5.059868846264117, -84.94013115373588 5.040252729758283, -84.94013115373588 10.57920733737058, -90 10.61965527615513))",0.765,0.830,0.870,144074,78712,38791,228380,495
1a1,"POLYGON ((16.53483785734516 -4.851647556935838, 22.61986494804043 -4.67244275538945, 22.61986494804042 0, 16.53483785734516 0, 16.53483785734516 -4.851647556935838))",0.651,0.651,0.651,1497151,1497151,1497151,1499307,5720
00b,"POLYGON ((-45 -21.14143744584222, -39.98123465891889 -22.73590953009369, -39.98123465891889 -17.70687285471333, -45 -16.41644037358546, -45 -21.14143744584222))",0.747,0.792,0.844,8498035,6491566,3607674,11929083,19736
2d3,"POLYGON ((129.9812346589189 -8.175896074358709, 135 -7.552372279897661, 135 -3.582521766172679, 129.9812346589189 -3.881312186924027, 129.9812346589189 -8.175896074358709))",0.662,0.682,0.682,158067,148854,148854,163824,39
093,"POLYGON ((-28.67314648943499 9.341889685888818, -22.61986494804043 9.8193006387579, -22.61986494804043 15.32501998539171, -28.67314648943499 14.59941342503042, -28.67314648943499 9.341889685888818))",0.771,0.853,0.962,98348,29605,34,193863,6097
0f9,"POLYGON ((-10.61965527615513 0, -5.059868846264117 0, -5.059868846264116 5.040252729758283, -10.61965527615514 4.973642825000524, -10.61965527615513 0))",0.652,0.712,0.750,321208,267142,224225,322735,1581
181,"POLYGON ((39.98123465891889 -3.881312186924027, 45 -3.582521766172679, 45 0, 39.98123465891889 0, 39.98123465891889 -3.881312186924027))",0.652,0.705,0.775,421472,349663,225326,424431,5294
21d,"POLYGON ((45 -25.92605088194581, 50.01876534108111 -27.78027316318915, 50.01876534108111 -22.73590953009369, 45 -21.14143744584222, 45 -25.92605088194581))",0.651,0.683,0.730,1221260,1060249,777908,1224243,2813
1e7,"POLYGON ((22.61986494804043 -37.74124916352239, 28.67314648943499 -36.34237313080051, 28.67314648943499 -31.09807140426155, 22.61986494804043 -32.39984017391932, 22.61986494804043 -37.74124916352239))",0.742,0.780,0.816,2770015,2353479,1843738,3509197,15702
bdd,"POLYGON ((-70.50413948681376 -48.3455290041172, -66.64443514071399 -53.17193519487547, -58.78159723565363 -51.20393553160921, -63.57747534364858 -46.88250450215281, -70.50413948681376 -48.3455290041172))",0.654,0.654,0.672,39051,39051,36529,39742,72
8eb,"POLYGON ((-73.46516214265485 21.77355606643973, -73.46516214265485 15.88626236166589, -67.38013505195958 15.32501998539171, -67.38013505195958 21.03751102542181, -73.46516214265485 21.77355606643973))",0.696,0.751,0.816,6840280,4921851,2456199,8233323,26290
31b,"POLYGON ((100.6196552761551 4.973642825000524, 106.5348378573452 4.851647556935838, 106.5348378573452 10.18989264617986, 100.6196552761551 10.44179817172576, 100.6196552761551 4.973642825000524))",0.801,0.853,0.924,3782733,1502944,77458,8571202,11480
1f7,"POLYGON ((39.98123465891889 -27.78027316318915, 45 -25.92605088194581, 45 -21.14143744584222, 39.98123465891889 -22.73590953009369, 39.98123465891889 -27.78027316318915))",0.651,0.689,0.738,705967,587509,412933,707482,4782
3b1,"POLYGON ((73.46516214265485 4.851647556935838, 79.38034472384487 4.973642825000524, 79.38034472384487 10.44179817172576, 73.46516214265485 10.18989264617986, 73.46516214265485 4.851647556935838))",0.724,0.779,0.825,11735479,7547888,4079053,16329277,3051
2e1,"POLYGON ((106.5348378573452 -4.851647556935838, 112.6198649480404 -4.67244275538945, 112.6198649480404 0, 106.5348378573452 0, 106.5348378573452 -4.851647556935838))",0.719,0.775,0.816,1333723,999455,669464,1618664,1778
3d5,"POLYGON ((45 0, 50.01876534108111 0, 50.01876534108111 3.881312186924027, 45 3.582521766172679, 45 0))",0.715,0.749,0.785,682472,548466,398045,909958,9028
11f,"POLYGON ((0 16.53483785734516, 5.059868846264116 16.47390220016713, 5.059868846264117 22.54054940194471, 0 22.61986494804042, 0 16.53483785734516))",0.773,0.807,0.911,25402,16948,815,51588,2275
80d,"POLYGON ((-118.673146489435 36.34237313080051, -118.673146489435 31.09807140426155, -112.6198649480404 32.39984017391932, -112.6198649480404 37.74124916352239, -118.673146489435 36.34237313080051))",0.788,0.838,0.889,1391245,747484,207453,2719379,13555
915,"POLYGON ((-73.46516214265485 -15.88626236166589, -73.46516214265485 -21.77355606643973, -67.38013505195958 -21.03751102542181, -67.38013505195958 -15.32501998539171, -73.46516214265485 -15.88626236166589))",0.734,0.779,0.835,3653468,2522450,992370,5274357,14011
145,"POLYGON ((28.67314648943499 25.63226655107013, 34.5085229876684 24.25860976441469, 34.5085229876684 29.53280370582265, 28.67314648943499 31.09807140426155, 28.67314648943499 25.63226655107013))",0.927,0.943,0.956,125335,39511,11753,13308406,38369
325,"POLYGON ((118.673146489435 4.442038523400337, 124.5085229876684 4.173022773894666, 124.5085229876684 8.783194988097531, 118.673146489435 9.341889685888818, 118.673146489435 4.442038523400337))",0.696,0.750,0.818,2377964,1682659,766759,2864942,4551
93d,"POLYGON ((-67.38013505195958 -9.8193006387579, -67.38013505195958 -15.32501998539171, -61.326853510565 -14.59941342503042, -61.326853510565 -9.341889685888818, -67.38013505195958 -9.8193006387579))",0.665,0.724,0.776,1365053,1140007,904547,1422177,1870
93f,"POLYGON ((-67.38013505195958 -15.32501998539171, -67.38013505195958 -21.03751102542181, -61.326853510565 -20.08096213071963, -61.326853510565 -14.59941342503042, -67.38013505195958 -15.32501998539171))",0.726,0.785,0.840,3906500,2711580,1334260,5106005,17481
815,"POLYGON ((-118.673146489435 25.63226655107013, -118.673146489435 20.08096213071963, -112.6198649480404 21.03751102542181, -112.6198649480404 26.7849955075022, -118.673146489435 25.63226655107013))",0.815,0.815,0.815,101,101,101,447,2
911,"POLYGON ((-79.38034472384487 -10.44179817172576, -79.38034472384487 -16.26672649011948, -73.46516214265485 -15.88626236166589, -73.46516214265485 -10.18989264617986, -79.38034472384487 -10.44179817172576))",0.781,0.815,0.868,3315400,2102176,599534,7219950,16794
231,"POLYGON ((55.4914770123316 -8.783194988097531, 61.326853510565 -9.341889685888818, 61.326853510565 -4.442038523400337, 55.4914770123316 -4.173022773894666, 55.4914770123316 -8.783194988097531))",0.650,0.689,0.746,21147,19027,15500,21157,784
92f,"POLYGON ((-55.4914770123316 -4.173022773894666, -55.4914770123316 -8.783194988097531, -50.01876534108111 -8.175896074358709, -50.01876534108111 -3.881312186924027, -55.4914770123316 -4.173022773894666))",0.688,0.777,0.820,285273,195345,136768,321596,287
8e9,"POLYGON ((-73.46516214265485 15.88626236166589, -73.46516214265485 10.18989264617986, -67.38013505195958 9.8193006387579, -67.38013505195958 15.32501998539171, -73.46516214265485 15.88626236166589))",0.780,0.856,0.929,3209939,1106209,46552,6132325,13514
3bb,"POLYGON ((73.46516214265485 10.18989264617986, 79.38034472384487 10.44179817172576, 79.38034472384487 16.26672649011948, 73.46516214265485 15.88626236166589, 73.46516214265485 10.18989264617986))",0.762,0.803,0.828,28810379,18984052,13015996,50198969,4941
943,"POLYGON ((-67.38013505195958 -26.7849955075022, -67.38013505195958 -32.39984017391932, -61.326853510565 -31.09807140426155, -61.32685351056502 -25.63226655107013, -67.38013505195958 -26.7849955075022))",0.800,0.827,0.861,2005603,1338099,615239,4936318,13911
895,"POLYGON ((-73.46516214265485 27.66622518241585, -73.46516214265485 21.77355606643973, -67.38013505195958 21.03751102542181, -67.38013505195958 26.7849955075022, -73.46516214265485 27.66622518241585))",0.676,0.676,0.676,20865,20865,20865,22944,6
373,"POLYGON ((95.05986884626412 22.54054940194471, 100.6196552761551 22.27057548800819, 100.6196552761551 28.25839533868567, 95.05986884626412 28.57906855098932, 95.05986884626412 22.54054940194471))",0.725,0.801,0.810,2702117,1363159,1208237,3917374,3753
103,"POLYGON ((0 5.059868846264117, 5.059868846264116 5.040252729758283, 5.059868846264117 10.57920733737058, 0 10.61965527615513, 0 5.059868846264117))",0.651,0.697,0.749,20469368,17874905,14632720,20549836,66376
17b,"POLYGON ((34.5085229876684 4.173022773894666, 39.98123465891889 3.881312186924027, 39.98123465891889 8.175896074358709, 34.5085229876684 8.783194988097531, 34.5085229876684 4.173022773894666))",0.650,0.673,0.748,12086368,11440021,8873425,12090466,13463
315,"POLYGON ((106.5348378573452 15.88626236166589, 112.6198649480404 15.32501998539171, 112.6198649480404 21.03751102542181, 106.5348378573452 21.77355606643973, 106.5348378573452 15.88626236166589))",0.807,0.838,0.876,1946431,1066733,334774,6222368,8592
147,"POLYGON ((22.61986494804042 26.7849955075022, 28.67314648943499 25.63226655107013, 28.67314648943499 31.09807140426155, 22.61986494804043 32.39984017391932, 22.61986494804042 26.7849955075022))",0.765,0.803,0.869,255521,196943,84903,416058,4411
191,"POLYGON ((28.67314648943499 -14.59941342503042, 34.5085229876684 -13.74670252512002, 34.5085229876684 -8.783194988097531, 28.67314648943499 -9.341889685888818, 28.67314648943499 -14.59941342503042))",0.650,0.650,0.703,7047846,7047846,5820908,7048956,14410
93b,"POLYGON ((-61.326853510565 -9.341889685888818, -61.326853510565 -14.59941342503042, -55.4914770123316 -13.74670252512002, -55.4914770123316 -8.783194988097531, -61.326853510565 -9.341889685888818))",0.759,0.793,0.836,794105,648167,430680,1177718,1352
30d,"POLYGON ((95.05986884626412 16.47390220016713, 100.6196552761551 16.26672649011948, 100.6196552761551 22.27057548800819, 95.05986884626412 22.54054940194471, 95.05986884626412 16.47390220016713))",0.738,0.786,0.845,6366871,4884434,2647770,8538264,27721
219,"POLYGON ((50.01876534108111 -22.73590953009369, 55.4914770123316 -24.25860976441469, 55.49147701233161 -18.9499500044539, 50.01876534108111 -17.70687285471333, 50.01876534108111 -22.73590953009369))",0.766,0.809,0.861,232347,168876,86528,389150,6661
2d7,"POLYGON ((124.5085229876684 -4.173022773894666, 129.9812346589189 -3.881312186924027, 129.9812346589189 0, 124.5085229876684 0, 124.5085229876684 -4.173022773894666))",0.674,0.717,0.760,604504,523170,427419,647221,167
131,"POLYGON ((10.61965527615513 34.04786296943432, 16.53483785734516 33.38766721236327, 16.53483785734516 38.79459515585769, 10.61965527615513 39.49464011274421, 10.61965527615513 34.04786296943432))",0.837,0.922,0.960,418249,27205,441,1388990,15445
371,"POLYGON ((95.05986884626412 28.57906855098932, 100.6196552761551 28.25839533868567, 100.6196552761551 34.04786296943432, 95.05986884626412 34.40415724063815, 95.05986884626412 28.57906855098932))",0.749,0.749,0.749,25518,25518,25518,40283,1
07d,"POLYGON ((-39.98123465891889 -3.881312186924027, -34.5085229876684 -4.173022773894666, -34.5085229876684 0, -39.98123465891889 0, -39.98123465891889 -3.881312186924027))",0.761,0.814,0.850,1095608,776654,486703,1516702,1206
217,"POLYGON ((55.4914770123316 -24.25860976441469, 61.32685351056502 -25.63226655107013, 61.326853510565 -20.08096213071963, 55.49147701233161 -18.9499500044539, 55.4914770123316 -24.25860976441469))",0.768,0.814,0.867,549814,351499,145656,992365,22772
221,"POLYGON ((45 -16.41644037358546, 50.01876534108111 -17.70687285471333, 50.01876534108111 -12.81566331979315, 45 -11.85551661629703, 45 -16.41644037358546))",0.650,0.650,0.705,2412136,2412136,1909095,2412522,3893
935,"POLYGON ((-50.01876534108111 -12.81566331979315, -50.01876534108111 -17.70687285471333, -45 -16.41644037358546, -45 -11.85551661629703, -50.01876534108111 -12.81566331979315))",0.780,0.810,0.857,3973912,3175691,1641127,6298433,7010
8e3,"POLYGON ((-79.38034472384487 4.973642825000524, -79.38034472384487 0, -73.46516214265485 0, -73.46516214265485 4.851647556935838, -79.38034472384487 4.973642825000524))",0.835,0.898,0.965,1501717,240129,981,6821072,19108
167,"POLYGON ((34.5085229876684 13.74670252512002, 39.98123465891889 12.81566331979315, 39.98123465891889 17.70687285471333, 34.5085229876684 18.9499500044539, 34.5085229876684 13.74670252512002))",0.740,0.782,0.819,3772077,2605714,1503908,5870027,27483
947,"POLYGON ((-61.326853510565 -20.08096213071963, -61.32685351056502 -25.63226655107013, -55.4914770123316 -24.25860976441469, -55.49147701233161 -18.9499500044539, -61.326853510565 -20.08096213071963))",0.691,0.753,0.799,934122,702161,504897,1086049,1704
223,"POLYGON ((50.01876534108111 -17.70687285471333, 55.49147701233161 -18.9499500044539, 55.4914770123316 -13.74670252512002, 50.01876534108111 -12.81566331979315, 50.01876534108111 -17.70687285471333))",0.726,0.739,0.779,176414,155194,94930,281361,365
129,"POLYGON ((0 34.5085229876684, 5.059868846264117 34.40415724063815, 5.059868846264117 39.87112800298822, 0 39.98123465891889, 0 34.5085229876684))",0.764,0.849,0.963,4576470,1983218,1441,7108578,22214
18f,"POLYGON ((34.5085229876684 -13.74670252512002, 39.98123465891889 -12.81566331979315, 39.98123465891889 -8.175896074358709, 34.5085229876684 -8.783194988097531, 34.5085229876684 -13.74670252512002))",0.651,0.651,0.706,2995016,2995016,2502010,3001335,7229
949,"POLYGON ((-55.49147701233161 -18.9499500044539, -55.4914770123316 -24.25860976441469, -50.01876534108111 -22.73590953009369, -50.01876534108111 -17.70687285471333, -55.49147701233161 -18.9499500044539))",0.742,0.786,0.827,4066895,3231073,2226021,5451627,3840
227,"POLYGON ((45 -11.85551661629703, 50.01876534108111 -12.81566331979315, 50.01876534108111 -8.175896074358709, 45 -7.552372279897661, 45 -11.85551661629703))",0.912,0.920,0.923,2325,1408,1099,105041,412
96b,"POLYGON ((-73.46516214265485 -21.77355606643973, -73.46516214265485 -27.66622518241585, -67.38013505195958 -26.7849955075022, -67.38013505195958 -21.03751102542181, -73.46516214265485 -21.77355606643973))",0.805,0.835,0.864,154841,94274,49678,493036,2804
07b,"POLYGON ((-39.98123465891889 -8.175896074358709, -34.5085229876684 -8.783194988097531, -34.5085229876684 -4.173022773894666, -39.98123465891889 -3.881312186924027, -39.98123465891889 -8.175896074358709))",0.725,0.776,0.828,7855115,6207889,3858816,9800923,6757
1c5,"POLYGON ((10.61965527615513 -34.04786296943432, 16.53483785734516 -33.38766721236327, 16.53483785734515 -27.66622518241585, 10.61965527615513 -28.25839533868567, 10.61965527615513 -34.04786296943432))",0.707,0.707,0.753,5881,5881,4947,6952,69
109,"POLYGON ((10.61965527615513 0, 16.53483785734516 0, 16.53483785734516 4.851647556935838, 10.61965527615514 4.973642825000524, 10.61965527615513 0))",0.650,0.659,0.719,2140059,2097377,1804387,2140277,14617
2dd,"POLYGON ((112.6198649480404 -9.8193006387579, 118.673146489435 -9.341889685888818, 118.673146489435 -4.442038523400337, 112.6198649480404 -4.67244275538945, 112.6198649480404 -9.8193006387579))",0.753,0.796,0.845,12634408,8710032,3846742,19290598,17260
8f5,"POLYGON ((-90 22.61986494804042, -90 16.53483785734516, -84.94013115373588 16.47390220016713, -84.94013115373588 22.54054940194471, -90 22.61986494804042))",0.810,0.880,0.897,933262,169248,89750,3244124,1624
3d7,"POLYGON ((45 3.582521766172679, 50.01876534108111 3.881312186924027, 50.01876534108111 8.175896074358709, 45 7.552372279897661, 45 3.582521766172679))",0.688,0.737,0.776,419997,320801,233899,488039,3552
161,"POLYGON ((39.98123465891889 12.81566331979315, 45 11.85551661629703, 45 16.41644037358546, 39.98123465891889 17.70687285471333, 39.98123465891889 12.81566331979315))",0.753,0.775,0.801,29773,23702,16806,62003,10971
13d,"POLYGON ((10.61965527615513 22.27057548800819, 16.53483785734516 21.77355606643973, 16.53483785734515 27.66622518241585, 10.61965527615513 28.25839533868567, 10.61965527615513 22.27057548800819))",0.792,0.792,0.792,792,792,792,3356,2282
16d,"POLYGON ((22.61986494804043 9.8193006387579, 28.67314648943499 9.341889685888818, 28.67314648943499 14.59941342503042, 22.61986494804043 15.32501998539171, 22.61986494804043 9.8193006387579))",0.775,0.796,0.844,1964066,1207912,210612,5948569,8602
bc3,"POLYGON ((-66.64443514071399 -53.17193519487547, -61.50436138175503 -58.10766364662543, -52.69605172201657 -55.49070946377213, -58.78159723565363 -51.20393553160921, -66.64443514071399 -53.17193519487547))",0.817,0.817,0.817,1375,1375,1375,7454,2
04f,"POLYGON ((-10.61965527615513 -16.26672649011948, -5.059868846264116 -16.47390220016713, -5.059868846264117 -10.57920733737058, -10.61965527615513 -10.44179817172576, -10.61965527615513 -16.26672649011948))",0.763,0.763,0.763,4933,4933,4933,7409,5
91b,"POLYGON ((-79.38034472384487 -4.973642825000524, -79.38034472384487 -10.44179817172576, -73.46516214265485 -10.18989264617986, -73.46516214265485 -4.851647556935838, -79.38034472384487 -4.973642825000524))",0.722,0.778,0.825,3868183,2721206,1619075,4998969,7564
38f,"POLYGON ((73.46516214265485 33.38766721236327, 79.38034472384487 34.04786296943432, 79.38034472384487 39.49464011274421, 73.46516214265485 38.79459515585769, 73.46516214265485 33.38766721236327))",0.677,0.715,0.752,4306984,3669659,2979635,4737558,1067
963,"POLYGON ((-79.38034472384487 -39.49464011274421, -79.38034472384487 -44.50509820989622, -73.46516214265485 -43.79048739785681, -73.46516214265485 -38.79459515585769, -79.38034472384487 -39.49464011274421))",0.688,0.714,0.779,264523,240174,164637,296669,1016
11d,"POLYGON ((0 10.61965527615513, 5.059868846264117 10.57920733737058, 5.059868846264116 16.47390220016713, 0 16.53483785734516, 0 10.61965527615513))",0.670,0.721,0.769,6858700,5179699,3530069,7453483,27461
94b,"POLYGON ((-50.01876534108111 -17.70687285471333, -50.01876534108111 -22.73590953009369, -45 -21.14143744584222, -45 -16.41644037358546, -50.01876534108111 -17.70687285471333))",0.746,0.790,0.832,7472215,5844678,3820363,10101837,5978
305,"POLYGON ((95.05986884626412 5.040252729758283, 100.6196552761551 4.973642825000524, 100.6196552761551 10.44179817172576, 95.05986884626412 10.57920733737058, 95.05986884626412 5.040252729758283))",0.796,0.839,0.925,3276291,2052585,111416,6135018,11792
195,"POLYGON ((22.61986494804042 -21.03751102542181, 28.67314648943499 -20.08096213071963, 28.67314648943499 -14.59941342503042, 22.61986494804043 -15.32501998539171, 22.61986494804042 -21.03751102542181))",0.668,0.711,0.772,3697339,3100975,2102188,3919244,16247
1a9,"POLYGON ((5.059868846264116 -5.040252729758283, 10.61965527615514 -4.973642825000524, 10.61965527615513 0, 5.059868846264117 0, 5.059868846264116 -5.040252729758283))",0.730,0.756,0.796,89981,78500,60945,122646,5283
bdf,"POLYGON ((-73.46516214265485 -43.79048739785681, -70.50413948681376 -48.3455290041172, -63.57747534364858 -46.88250450215281, -67.38013505195957 -42.70938995736147, -73.46516214265485 -43.79048739785681))",0.775,0.811,0.839,198188,127019,77016,401705,5178
925,"POLYGON ((-61.326853510565 -4.442038523400337, -61.326853510565 -9.341889685888818, -55.4914770123316 -8.783194988097531, -55.4914770123316 -4.173022773894666, -61.326853510565 -4.442038523400337))",0.657,0.659,0.740,191204,189550,145163,195082,90
8c3,"POLYGON ((-67.38013505195958 15.32501998539171, -67.38013505195958 9.8193006387579, -61.326853510565 9.341889685888818, -61.326853510565 14.59941342503042, -67.38013505195958 15.32501998539171))",0.781,0.830,0.876,2251561,1372453,601224,4202914,11490
377,"POLYGON ((90 28.67314648943499, 95.05986884626412 28.57906855098932, 95.05986884626412 34.40415724063815, 90 34.5085229876684, 90 28.67314648943499))",0.849,0.849,0.849,49449,49449,49449,174511,2
8f7,"POLYGON ((-90 16.53483785734516, -90 10.61965527615513, -84.94013115373588 10.57920733737058, -84.94013115373588 16.47390220016713, -90 16.53483785734516))",0.732,0.790,0.831,8771954,5904312,3647174,11959785,27345
127,"POLYGON ((0 28.67314648943499, 5.059868846264117 28.57906855098932, 5.059868846264117 34.40415724063815, 0 34.5085229876684, 0 28.67314648943499))",0.832,0.935,0.941,239649,4860,2893,837371,7171
8dd,"POLYGON ((-67.38013505195958 9.8193006387579, -67.38013505195957 4.67244275538945, -61.326853510565 4.442038523400337, -61.326853510565 9.341889685888818, -67.38013505195958 9.8193006387579))",0.784,0.816,0.876,874705,635552,203046,1594628,1877
