,,,,,,Garbic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cryic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Isolatic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Leptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Subaquatic,Tidalic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reductic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hyperskeletic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Supplementary qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Alcalic,Dystric,Eutric,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Andic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anthraquic,Irragric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hortic,Plaggic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pretic,Terric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Archaic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Arenic,Clayic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Loamic,Siltic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Aridic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Calcic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cambic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carbonic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Densic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dolomitic,Calcaric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drainic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fluvic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Folic,Histic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gleyic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsiric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Humic,Ochric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hyperartefactic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Immissic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Laxic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lignic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mollic,Umbric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oxyaquic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Raptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Relocatic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Salic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sideralic,,,,,,,,,,,,,,,,,,,,,,,,
